--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83842;20/07/1980;0000;;25;;7.5;3.4;18.48;66.75;4.5;
83842;20/07/1980;1200;0;;12;;;;;;
83842;21/07/1980;0000;;20.8;;3.7;6.7;14.02;88.5;3;
83842;21/07/1980;1200;0;;11;;;;;;
83842;23/07/1980;0000;;20.6;;7.6;3;12.02;75.75;1.966667;
83842;23/07/1980;1200;0;;6.8;;;;;;
83842;24/07/1980;0000;;19.1;;8.9;1.6;11.1;87;2.1;
83842;24/07/1980;1200;0;;6.8;;;;;;
83842;25/07/1980;0000;;23;;5.4;2.8;15.56;76.75;3.366667;
83842;25/07/1980;1200;0;;9.3;;;;;;
83842;29/07/1980;0000;;22.8;;0.2;5.5;17.28;70;4.733333;
83842;29/07/1980;1200;0;;12.5;;;;;;
83842;31/07/1980;0000;;13;;5.7;0.5;6.34;81.5;1.4;
83842;31/07/1980;1200;33.6;;3.8;;;;;;
83842;04/08/1980;0000;;22.7;;8.9;1.6;15.9;74.25;3.133333;
83842;04/08/1980;1200;0;;11.5;;;;;;
83842;07/08/1980;0000;;22.5;;9.7;4.5;13.48;63.25;2.1;
83842;07/08/1980;1200;0;;7.9;;;;;;
83842;08/08/1980;0000;;20.6;;3.7;3.8;12.38;82.5;1.533333;
83842;08/08/1980;1200;0;;5.4;;;;;;
83842;12/08/1980;0000;;12.8;;0;1.4;9.96;91.75;3;
83842;12/08/1980;1200;0;;8.5;;;;;;
83842;16/08/1980;0000;;25.2;;6.7;2.1;17.82;76;2.7;
83842;16/08/1980;1200;0.2;;12;;;;;;
83842;17/08/1980;0000;;25.4;;2.8;3.7;18.76;75.75;4.566667;
83842;17/08/1980;1200;0;;13.1;;;;;;
83842;20/08/1980;0000;;25.2;;4;4.5;16.9;85.75;3.466667;
83842;20/08/1980;1200;7;;14.4;;;;;;
83842;24/08/1980;0000;;12.5;;0;0.8;10.64;98.75;1.2;
83842;24/08/1980;1200;6.8;;7.8;;;;;;
83842;29/08/1980;0000;;15.5;;0;0.7;12.06;89.5;2.6;
83842;29/08/1980;1200;0.1;;9.1;;;;;;
83842;30/08/1980;0000;;22.5;;4.6;1.8;14.12;86.25;1.866667;
83842;30/08/1980;1200;0;;10.2;;;;;;
83842;31/08/1980;0000;;26.1;;6.5;0.5;17.92;79;1.866667;
83842;31/08/1980;1200;0;;11.1;;;;;;
83842;04/09/1980;0000;;18;;10.6;3;12.62;47.25;3.3;
83842;04/09/1980;1200;0;;9.6;;;;;;
83842;05/09/1980;0000;;18.1;;7.5;4.5;9.68;82.5;1.966667;
83842;05/09/1980;1200;0;;4.2;;;;;;
83842;08/09/1980;0000;;26.2;;2.6;3;16.54;84.5;2.933333;
83842;08/09/1980;1200;0;;11.1;;;;;;
83842;12/09/1980;0000;;15.3;;0;1.2;13.16;90.25;3.266667;
83842;12/09/1980;1200;0;;11.8;;;;;;
83842;13/09/1980;0000;;19.1;;0.7;0.8;15.44;90.75;3.433333;
83842;13/09/1980;1200;0;;11.8;;;;;;
83842;14/09/1980;0000;;20.5;;0.3;1.1;16.84;87.25;2.466667;
83842;14/09/1980;1200;0;;14.4;;;;;;
83842;24/09/1980;0000;;19.4;;8.7;4.2;11.46;78.25;2.066667;
83842;24/09/1980;1200;0;;7.4;;;;;;
83842;25/09/1980;0000;;17.2;;10.4;2.5;9.94;67;3.533333;
83842;25/09/1980;1200;0;;4.4;;;;;;
83842;29/09/1980;0000;;20.6;;7.3;0.7;14.26;78;2.2;
83842;29/09/1980;1200;2.1;;10.1;;;;;;
83842;01/10/1980;0000;;21.4;;8.8;2.2;16.1;81.25;3.466667;
83842;01/10/1980;1200;0;;11.2;;;;;;
83842;02/10/1980;0000;;25.8;;4.2;2.6;18.04;83.75;2.633333;
83842;02/10/1980;1200;0;;14.3;;;;;;
83842;03/10/1980;0000;;27.7;;8.9;2.7;20.66;61.25;1.566667;
83842;03/10/1980;1200;0;;15.1;;;;;;
83842;04/10/1980;0000;;28.7;;10.4;5.9;22.34;44.5;3.733333;
83842;04/10/1980;1200;0;;14.2;;;;;;
83842;10/10/1980;0000;;19.4;;5.5;3.2;14.22;81.5;2.266667;
83842;10/10/1980;1200;0;;11.2;;;;;;
83842;11/10/1980;0000;;13.3;;0;1.6;12.4;96.5;1.766667;
83842;11/10/1980;1200;6;;11.1;;;;;;
83842;13/10/1980;0000;;15.7;;0.5;0.7;12.84;88.5;3;
