--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82598;29/10/1983;0000;;28.2;;6.9;7.3;;;;
82598;29/10/1983;1200;13.7;;21.6;;;;;;
82598;30/10/1983;0000;;30.8;;6.8;8.5;25.96;86;5.633333;
82598;30/10/1983;1200;3.7;;21.2;;;;;;
82598;31/10/1983;0000;;30.9;;4;8.1;26.26;88.5;4.7;
82598;31/10/1983;1200;0;;23.4;;;;;;
82598;01/11/1983;0000;;29.2;;9.7;7.4;26.8;86;6.666667;
82598;01/11/1983;1200;0;;25.2;;;;;;
82598;02/11/1983;0000;;29.2;;7.6;9;26.24;86.25;6.4;
82598;02/11/1983;1200;0;;24.4;;;;;;
82598;03/11/1983;0000;;29.8;;10;8.3;;;;
82598;03/11/1983;1200;2.1;;21;;;;;;
82598;04/11/1983;0000;;28.8;;10.7;8.4;26.72;85.25;4.8;
82598;04/11/1983;1200;0;;25.2;;;;;;
82598;05/11/1983;0000;;29.4;;8.1;6.8;26.76;83.25;4.233333;
82598;05/11/1983;1200;0;;25.2;;;;;;
82598;06/11/1983;0000;;29.8;;9.6;7;26.82;86.75;4.4;
82598;06/11/1983;1200;0;;24.6;;;;;;
82598;07/11/1983;0000;;28.8;;9.8;7.5;26.68;86;4.7;
82598;07/11/1983;1200;0;;25;;;;;;
82598;08/11/1983;0000;;28.8;;9.8;7.5;;;;
82598;08/11/1983;1200;0;;24.8;;;;;;
82598;09/11/1983;0000;;29.9;;9.8;8.5;26.8;83.5;4.466667;
82598;09/11/1983;1200;0;;24.7;;;;;;
82598;10/11/1983;0000;;29.6;;10.4;8.5;27.08;86;4.966667;
82598;10/11/1983;1200;0;;25;;;;;;
82598;11/11/1983;0000;;30;;10.3;4.7;;;;
82598;11/11/1983;1200;0;;25.4;;;;;;
82598;12/11/1983;0000;;29.5;;10.4;9.2;26.94;84.75;4.933333;
82598;12/11/1983;1200;0;;25;;;;;;
82598;13/11/1983;0000;;29.4;;11;9.8;26.52;86.5;5.233333;
82598;13/11/1983;1200;0;;25;;;;;;
82598;14/11/1983;0000;;29.8;;10.4;8.5;26.88;81;4.1;
82598;14/11/1983;1200;0;;25.2;;;;;;
82598;15/11/1983;0000;;30;;10.3;7.2;27.22;82.75;5.666667;
82598;15/11/1983;1200;0;;24.8;;;;;;
82598;16/11/1983;0000;;30;;10.3;9;27.12;86.25;5.166667;
82598;16/11/1983;1200;0;;25.4;;;;;;
82598;17/11/1983;0000;;29.8;;9.4;8;26.72;82.75;6.366667;
82598;17/11/1983;1200;1;;23.4;;;;;;
82598;18/11/1983;0000;;29.8;;10.6;9.9;26.98;82.25;5.766667;
82598;18/11/1983;1200;0;;25.1;;;;;;
82598;19/11/1983;0000;;29.6;;10.8;8.7;26.76;84.75;5.933333;
82598;19/11/1983;1200;0;;25;;;;;;
82598;20/11/1983;0000;;29.4;;11.1;9;26.72;83.25;6;
82598;20/11/1983;1200;0;;24.8;;;;;;
82598;21/11/1983;0000;;29.8;;10.6;8.5;27.08;84.75;5.833333;
82598;21/11/1983;1200;0;;24.9;;;;;;
82598;22/11/1983;0000;;30;;10.8;7.2;27.12;89;5.566667;
82598;22/11/1983;1200;0;;25.2;;;;;;
82598;23/11/1983;0000;;29.6;;10.3;8.3;;;;
82598;23/11/1983;1200;0;;24.8;;;;;;
82598;24/11/1983;0000;;30;;9.5;8.2;27.1;81.25;6.033333;
82598;24/11/1983;1200;0;;25.1;;;;;;
82598;25/11/1983;0000;;29.4;;10.3;8;26.68;88;5.066667;
82598;25/11/1983;1200;0;;24.8;;;;;;
82598;26/11/1983;0000;;29.4;;10.3;8.7;26.66;83;3.333333;
82598;26/11/1983;1200;0;;24.8;;;;;;
82598;27/11/1983;0000;;29.4;;10.3;8.3;26.64;86;4.866667;
82598;27/11/1983;1200;0;;24.6;;;;;;
82598;28/11/1983;0000;;28.4;;9.9;7.5;26.56;85.5;4.933333;
82598;28/11/1983;1200;0;;24.8;;;;;;
82598;29/11/1983;0000;;29.6;;10.2;8.5;26.76;83.5;4.466667;
82598;29/11/1983;1200;0;;25.2;;;;;;
82598;30/11/1983;0000;;29.6;;9.9;7.8;27;86.25;4.933333;
82598;30/11/1983;1200;0;;25;;;;;;
82598;01/12/1983;0000;;29.6;;9.9;8.2;26.92;87.25;5.266667;
82598;01/12/1983;1200;0;;25;;;;;;
82598;02/12/1983;0000;;30.2;;10.4;8.9;;;;
82598;02/12/1983;1200;0;;24.8;;;;;;
82598;03/12/1983;0000;;29.6;;9.7;7.8;26.72;82.75;4.733333;
82598;03/12/1983;1200;0;;24.5;;;;;;
82598;04/12/1983;0000;;30;;6.5;7.8;27.06;81.25;4.866667;
82598;04/12/1983;1200;0;;25.1;;;;;;
82598;05/12/1983;0000;;29.8;;10.1;8;27.12;76.75;5.633333;
82598;05/12/1983;1200;0;;25.2;;;;;;
82598;06/12/1983;0000;;30.2;;9.7;9.7;27.6;78;6.533333;
82598;06/12/1983;1200;0;;25.6;;;;;;
82598;07/12/1983;0000;;30;;10.8;6.8;27.32;75.5;6.066667;
82598;07/12/1983;1200;0;;25.2;;;;;;
