,lab1,lab2,lab3,lab4,lab5,exe1,exe2,exe3,exe4,exe5
4392,,8.0,4.0,4.0,10.0,0.6666666666666667,8.333333333333332,6.666666666666667,5.0,6.875
4391,,8.0,4.0,4.0,10.0,0.6666666666666667,8.333333333333332,6.666666666666667,3.125,6.875
4149,10.0,10.0,2.0,8.0,10.0,3.3333333333333335,2.777777777777778,4.0,2.5,3.125
4150,10.0,10.0,2.0,,10.0,3.3333333333333335,3.8888888888888884,0.6666666666666667,,3.125
4151,10.0,10.0,10.0,10.0,10.0,6.666666666666667,10.0,10.0,8.125,9.7875
4152,10.0,10.0,10.0,10.0,10.0,6.666666666666667,10.0,10.0,8.75,9.7875
4452,,,10.0,,8.0,,,4.0,0.625,2.5
4153,8.0,,,8.0,0.0,2.666666666666667,,,2.5,0.0
4154,10.0,10.0,6.0,10.0,10.0,7.333333333333333,9.188888888888886,6.666666666666667,6.25,4.375
4393,,6.8,2.0,4.0,,,5.777777777777778,2.0,1.25,
4155,10.0,2.0,,,,3.3333333333333335,0.5555555555555555,,,
4156,10.0,10.0,9.6,10.0,10.0,3.3333333333333335,7.222222222222223,5.866666666666665,3.75,9.84375
4157,10.0,10.0,9.6,10.0,10.0,3.3333333333333335,7.222222222222223,5.866666666666665,4.375,9.84375
4158,10.0,10.0,6.0,4.0,,3.3333333333333335,6.666666666666667,5.333333333333334,3.75,
4453,,,2.0,,4.0,,,2.666666666666667,,1.25
4159,10.0,10.0,2.0,6.0,,3.3333333333333335,6.666666666666667,,2.5,
4160,10.0,6.4,10.0,4.0,10.0,4.0,5.572222222222222,6.666666666666667,5.0,3.125
4394,,6.0,,,,,4.444444444444444,,0.2,
4161,2.0,4.0,0.0,2.0,10.0,1.3333333333333335,2.127777777777778,2.44,3.75,3.28125
4162,2.0,4.0,0.0,2.0,10.0,1.3333333333333335,2.127777777777778,2.44,5.4125,3.28125
4163,6.0,8.0,2.0,4.0,2.0,2.0,6.111111111111112,2.666666666666667,1.25,0.625
4165,4.0,6.0,6.0,2.0,10.0,1.3333333333333335,3.5,4.666666666666666,5.4125,5.0
4164,4.0,6.0,6.0,2.0,10.0,1.3333333333333335,3.5,4.666666666666666,3.75,5.0
4166,10.0,10.0,2.0,10.0,,3.3333333333333335,9.283333333333331,4.0,4.375,
4454,,,10.0,,10.0,,,4.0,0.625,3.125
4513,,,,,,0.6666666666666667,1.111111111111111,,,
4455,,,2.0,,,,,0.6666666666666667,,
4167,10.0,10.0,4.0,4.0,,6.0,3.8888888888888884,4.0,1.875,
4168,8.0,10.0,10.0,6.0,10.0,6.666666666666667,9.927777777777777,10.0,6.25,6.875
4169,8.0,10.0,10.0,6.0,10.0,6.666666666666667,9.927777777777777,10.0,8.75,6.875
4170,8.0,10.0,4.0,10.0,10.0,2.666666666666667,2.777777777777778,3.3333333333333335,3.125,3.125
4507,,,,0.0,,,,,0.0,0.625
4171,10.0,10.0,10.0,10.0,10.0,6.666666666666667,10.0,10.0,10.0,10.0
4172,10.0,10.0,10.0,10.0,10.0,6.666666666666667,10.0,10.0,6.25,10.0
4173,2.0,,6.0,,8.0,1.3333333333333335,,4.0,0.0,4.375
4456,,,4.0,,10.0,,,2.666666666666667,,3.125
4174,4.0,8.0,,,2.0,1.3333333333333335,2.222222222222222,0.6666666666666667,1.875,0.625
4175,2.0,,,,,0.6666666666666667,3.3333333333333335,,0.625,
4395,,2.0,2.0,,10.0,,1.6666666666666667,2.0,0.625,5.625
4176,10.0,,6.0,8.0,10.0,6.0,,2.0,4.21875,4.375
4516,,,,,,,,0.6666666666666667,0.0,
4457,,,6.0,,8.0,,,4.0,1.25,2.5
4458,,,2.0,,,,,0.6666666666666667,,
4459,,,10.0,,6.0,,,2.666666666666667,0.625,1.875
4460,,,6.0,,,,,3.3333333333333335,,
4177,6.0,,2.0,,10.0,2.0,,1.3333333333333335,0.15625,9.375
4396,,10.0,10.0,,10.0,,7.777777777777777,8.666666666666668,1.875,10.0
4178,2.0,6.0,2.0,,,0.6666666666666667,1.6666666666666667,2.666666666666667,,
4461,,,6.0,,10.0,,,3.3333333333333335,1.25,3.75
4397,,2.0,,,,,2.222222222222222,,,
4462,,,6.0,,10.0,,,3.3333333333333335,,3.125
4180,10.0,10.0,10.0,6.0,10.0,3.3333333333333335,2.777777777777778,2.666666666666667,2.5,3.125
4179,10.0,10.0,10.0,6.0,10.0,3.3333333333333335,2.777777777777778,2.666666666666667,1.25,3.125
4463,,,6.0,,10.0,,,3.3333333333333335,,3.125
4508,,,,2.0,10.0,,,0.6666666666666667,3.75,3.125
4398,,2.0,2.0,,,,0.5555555555555555,2.0,,
4181,0.0,4.4,10.0,,10.0,0.0,1.222222222222222,2.666666666666667,0.625,3.125
4514,,,,,,,0.5555555555555555,,,
4182,6.0,10.0,,10.0,10.0,2.0,2.777777777777778,,3.125,3.125
4184,10.0,10.0,10.0,4.0,10.0,6.0,8.88888888888889,9.333333333333332,4.375,4.375
4183,10.0,10.0,10.0,4.0,10.0,6.0,8.88888888888889,9.333333333333332,1.25,4.375
4185,0.0,8.1,2.0,2.0,4.0,0.0,2.25,2.666666666666667,0.625,1.25
