"CIÊNCIA, TECNOLOGIA E SOCIEDADEnota",PRÁTICAS DE LEITURA E ESCRITA Inota,QUÍMICA GERALnota,CÁLCULO Inota,VETORES E GEOMETRIA ANALÍTICAnota,PRÉ-CÁLCULOnota,LÓGICA DE PROGRAMAÇÃOnota
5.30,5.00,2.00,-,0.20,0.20,-
6.50,6.30,5.00,1.80,0.50,0.90,1.60
10.00,8.20,8.10,2.50,9.00,7.20,8.50
7.70,7.90,6.00,7.50,5.40,5.80,7.70
7.60,8.60,8.40,7.40,8.10,7.60,8.40
6.30,5.90,7.20,0.30,5.80,1.00,1.20
7.00,5.30,5.00,6.00,4.50,5.50,8.90
7.50,5.30,4.50,5.50,7.30,4.20,8.20
7.30,6.30,5.40,5.30,5.30,5.50,8.00
8.10,7.90,6.90,10.00,10.00,9.70,0.10
-,-,-,-,-,-,0.50
2.70,3.10,5.50,6.20,7.70,6.90,7.20
4.60,6.50,2.50,1.00,1.60,1.10,5.80
4.10,5.30,0.40,0.00,1.60,2.00,0.00
8.50,8.30,8.70,7.10,8.80,6.50,7.70
-,5.60,-,-,-,-,0.20
7.00,5.90,6.20,5.40,5.00,2.90,5.40
5.50,6.20,6.40,0.00,1.70,1.50,8.80
6.10,7.30,5.00,2.00,2.20,0.50,5.80
7.50,7.30,8.00,9.80,9.10,6.80,9.30
7.30,6.60,5.00,2.20,1.20,0.10,0.30
6.70,6.80,6.40,7.80,6.80,5.00,6.70
5.70,5.30,5.30,5.00,2.80,5.30,7.40
7.40,6.10,1.40,0.00,1.10,1.10,9.50
6.40,7.10,7.30,7.60,6.30,2.30,5.00
5.90,7.90,6.20,5.20,7.30,5.20,-
5.90,6.30,6.40,5.30,2.70,2.70,0.60
6.50,6.80,7.90,7.10,6.00,5.20,7.00
5.50,5.20,4.20,5.00,2.70,1.90,0.40
6.10,5.60,6.40,7.50,4.40,6.90,6.30
5.80,5.80,6.00,9.50,6.80,6.20,5.40
8.10,6.30,5.00,2.30,4.50,2.70,8.40
8.60,5.90,8.70,5.80,7.50,5.30,5.70
7.80,6.10,6.90,8.40,6.70,5.50,7.00
9.50,6.60,6.90,9.00,7.00,6.10,5.40
6.10,5.00,6.50,3.30,5.20,6.30,0.00
5.00,6.90,5.30,7.80,5.60,6.60,8.00
7.30,5.50,6.60,10.00,8.70,6.80,5.90
7.30,5.60,1.60,0.00,0.00,4.10,-
7.50,7.20,6.00,4.00,5.30,0.80,0.80
7.10,6.00,5.90,7.00,5.40,6.40,5.70
8.10,6.20,8.20,5.30,8.50,6.30,7.00
6.00,6.30,0.70,-,5.30,0.90,0.00
5.80,6.80,5.00,3.50,0.70,0.60,4.30
6.60,7.30,8.40,9.00,8.40,5.70,9.70
6.00,7.20,5.40,3.80,6.70,1.30,8.40
6.40,5.80,7.20,7.80,5.20,6.20,6.70
6.10,6.30,2.80,2.20,1.50,1.10,0.90
6.40,5.80,5.90,5.70,6.60,3.40,6.50
6.80,5.30,8.00,8.50,9.10,7.40,6.80
8.30,5.30,4.60,6.30,0.10,5.50,1.50
8.10,7.20,7.00,9.00,8.00,5.00,7.70
6.40,7.60,9.00,10.00,10.00,9.90,10.00
5.60,5.40,7.00,5.80,7.70,0.60,6.80
6.30,6.50,6.70,6.70,7.00,5.10,5.50
6.10,5.40,2.80,2.50,1.00,1.50,5.00
6.80,7.90,6.90,5.00,8.70,5.00,5.00
0.10,5.80,5.20,-,5.00,0.10,-
6.80,6.50,5.90,6.70,5.20,4.10,7.60
7.50,5.50,5.00,6.40,4.30,5.00,6.20
7.90,5.10,5.30,6.50,6.10,5.40,7.10
8.90,6.00,8.50,10.00,9.60,8.30,8.60
9.10,6.50,7.60,9.10,9.50,5.90,9.20
6.60,5.60,6.60,5.50,5.70,0.00,0.00
